domain,n_rows,outlet_type
renewableenergymagazine.com,2,trade
computing.co.uk,2,trade
tribstar.com,2,local
kcrg.com,2,local
miningweekly.com,2,trade
11alive.com,2,local
joyfreepress.com,2,other
cacm.acm.org,2,trade
tulsaworld.com,2,local
interaksyon.philstar.com,2,national
squatchrocks.com,2,local
chiangraitimes.com,2,local
perhamfocus.com,2,local
denverpost.com,2,local
athens-times.com,2,local
dmagazine.com,2,local
wosu.org,2,local
wowo.com,2,local
techent.tv,2,trade
dailymail.co.uk,2,national
dominica.gov.dm,2,other
wsfa.com,2,local
thedailystar.net,2,national
funds-europe.com,2,trade
naftemporiki.gr,2,national
fox42kptm.com,2,local
piquenewsmagazine.com,2,local
wutc.org,2,local
dailyjournal.net,2,local
gamerant.com,2,other
thejakartapost.com,2,national
abc7amarillo.com,2,local
theenterpriseleader.com,2,wire_pr
onegreenplanet.org,2,other
knoxradio.com,2,local
lanereport.com,2,local
edmontonjournal.com,2,local
fool.com.au,2,national
thecorner.eu,2,national
midmichigannow.com,2,local
live5news.com,2,local
pymnts.com,2,trade
grist.org,2,national
theborneopost.com,2,local
solarpowerportal.co.uk,2,trade
elkharttruth.com,2,local
interlochenpublicradio.org,2,local
600wmtradio.iheart.com,2,local
dailylocal.com,2,local
roanoke.com,2,local
mcall.com,2,local
insidermedia.com,2,trade
edmontonexaminer.com,2,local
thisisoxfordshire.co.uk,2,local
thedailynewsonline.com,2,local
bostonglobe.com,2,local
pv-tech.org,2,trade
airdriecityview.com,2,local
thecooldown.com,2,other
csrwire.com,2,wire_pr
knoe.com,2,local
pressenterpriseonline.com,2,local
herald-dispatch.com,2,local
theconstructionindex.co.uk,2,trade
idahobusinessreview.com,2,local
stalbertgazette.com,2,local
eastbaytimes.com,2,local
areadevelopment.com,2,trade
wgme.com,2,local
newsweek.com,2,national
nny360.com,2,local
electronicdesign.com,2,trade
lockhaven.com,2,local
tonyskansascity.com,2,local
newkerala.com,2,national
yakimaherald.com,2,local
aol.com,2,national
nbcmiami.com,2,local
1049therebel.com,2,local
butlereagle.com,2,local
wwno.org,2,local
sloveniatimes.com,2,national
ibtimes.co.in,2,national
domain-b.com,2,national
evertiq.com,2,trade
newson6.com,2,local
weirtondailytimes.com,2,local
wandtv.com,2,local
pottsmerc.com,2,local
grimsbytelegraph.co.uk,2,local
advocate-news.com,2,local
publicradioeast.org,2,local
technologyreview.com,2,trade
electric949.com,2,local
indonesiatribune.com,2,national
northwestgeorgianews.com,2,local
indiatvnews.com,2,national
cvilletomorrow.org,2,local
betakit.com,2,trade
wvik.org,2,local
lufkindailynews.com,2,local
rockymounttelegram.com,2,local
news18.com,2,national
statesboroherald.com,2,local
upr.org,2,local
pennlive.com,2,local
kashmirreader.com,2,local
13wham.com,2,local
governorswindenergycoalition.org,2,other
havasunews.com,2,local
kuaf.com,2,local
wlky.com,2,local
mymotherlode.com,2,local
keyc.com,2,local
informatechtarget.com,2,trade
wcnc.com,2,local
arkansasonline.com,2,local
wrno.iheart.com,2,local
wysu.org,2,local
timesleader.com,2,local
wydaily.com,2,local
news.az,2,national
sanfordherald.com,2,local
republicanherald.com,2,local
bunburymail.com.au,2,local
fox56.com,2,local
tiftongazette.com,2,local
myhostnews.com,2,trade
41nbc.com,2,local
power-technology.com,2,trade
hubcityradio.com,2,local
kvia.com,2,local
counterpunch.org,2,national
somdnews.com,2,local
kob.com,2,local
slguardian.org,2,national
click2houston.com,2,local
edenmagnet.com.au,2,local
mercurynews.com,2,local
batemansbaypost.com.au,2,local
ksmu.org,2,local
coloradostar.com,2,other
datacenter.news,2,trade
whro.org,2,local
gulte.com,2,local
wyomingnewsnow.tv,2,local
wbrz.com,2,local
austin.culturemap.com,2,local
statesman.com,2,local
wctrib.com,2,local
