domain,n_rows,outlet_type
wfdd.org,1,local
thereporteronline.com,1,local
washingtonian.com,1,local
kfvs12.com,1,local
wcjb.com,1,local
nevadanewsandviews.com,1,local
redlandcitybulletin.com.au,1,local
townhall.com,1,national
lewistownsentinel.com,1,local
radio.foxnews.com,1,national
rrr.org.au,1,local
mrt.com,1,local
b1047.com,1,local
youralaskalink.com,1,local
1470kyyw.com,1,local
kcur.org,1,local
inquirer.com,1,local
kazu.org,1,local
khq.com,1,local
yasstribune.com.au,1,local
khvhradio.iheart.com,1,local
oleantimesherald.com,1,local
hngnews.com,1,local
foxrochester.com,1,local
wctv.tv,1,local
finchannel.com,1,national
npr.org,1,national
wuwf.org,1,local
wtxl.com,1,local
