domain,n_rows,outlet_type
thecabin.net,1,local
supplychainmarket.com,1,trade
mainemirror.com,1,other
marketing-interactive.com,1,trade
rbj.net,1,local
pakistantelegraph.com,1,other
datanami.com,1,trade
nagalandpost.com,1,local
floridastatesman.com,1,other
manilastandard.net,1,national
island.lk,1,national
phnompenhpost.com,1,national
kachwanya.com,1,trade
israelherald.com,1,other
hongkongherald.com,1,other
kearneyhub.com,1,local
haitisun.com,1,other
sinchew.com.my,1,national
countercurrents.org,1,national
sanantoniopost.com,1,other
carnewschina.com,1,trade
whio.com,1,local
independentaustralia.net,1,national
milehighcre.com,1,trade
kiratas.com,1,other
cpomagazine.com,1,trade
buildingtalk.com,1,trade
98fm.com,1,local
realradio804.com,1,local
hellenicshippingnews.com,1,trade
extra.ie,1,national
news.europawire.eu,1,wire_pr
vietnam-briefing.com,1,trade
techweez.com,1,trade
trinidadtimes.com,1,other
newswire.ca,1,wire_pr
myjoyonline.com,1,national
insurancejournal.com,1,trade
ctvnews.ca,1,national
climatecrocks.com,1,other
geeky-gadgets.com,1,trade
thenigerianvoice.com,1,national
opp.today,1,other
her.yourstory.com,1,trade
wsjm.com,1,local
arabtimesonline.com,1,national
imeche.org,1,trade
hub.secure-ic.com,1,other
dcvelocity.com,1,trade
keprtv.com,1,local
vccircle.com,1,trade
983thecoast.com,1,local
kbc.co.ke,1,national
mobilesyrup.com,1,trade
channelfutures.com,1,trade
techfinancials.co.za,1,trade
themobileindian.com,1,trade
nova.ie,1,local
967theeagle.net,1,local
traveldailymedia.com,1,trade
knopnews2.com,1,local
wacotrib.com,1,local
poncacitynow.com,1,local
diariodeiguape.com,1,local
defence.pk,1,other
uniindia.com,1,wire_pr
northernpublicradio.org,1,local
keyt.com,1,local
twincities.com,1,local
tech-critter.com,1,trade
nationalparkstraveler.org,1,national
sciencealert.com,1,national
finsmes.com,1,trade
ibj.com,1,local
navhindtimes.in,1,local
governing.com,1,trade
oxfordstudent.com,1,local
zonebourse.com,1,wire_pr
madisoncourier.com,1,local
steelguru.com,1,trade
dslreports.com,1,trade
pragativadi.com,1,local
djournal.com,1,local
bluemountaineagle.com,1,local
canaleenergia.com,1,trade
unitedwithisrael.org,1,other
sciencebusiness.net,1,trade
eugenedailynews.com,1,local
effinghamdailynews.com,1,local
urdupoint.com,1,national
dailypioneer.com,1,national
zmescience.com,1,national
romania-insider.com,1,national
etftrends.com,1,trade
dominicantoday.com,1,national
thepitchkc.com,1,local
greentechlead.com,1,trade
ruetir.com,1,trade
y105fm.com,1,local
tanzanianewsreports.com,1,other
placenorthwest.co.uk,1,trade
quickcountry.com,1,local
rubbernews.com,1,trade
mix108.com,1,local
kcci.com,1,local
vietnamnews.vn,1,national
newzealandstar.com,1,other
news.sky.com,1,national
cajnewsafrica.com,1,wire_pr
cranestodaymagazine.com,1,trade
siasat.com,1,local
nuggetnews.com,1,local
hillsboroherald.com,1,local
wbiw.com,1,local
business-review.eu,1,national
963xke.com,1,local
genevalunch.com,1,local
smdailyjournal.com,1,local
wordpress.com,1,other
lmtonline.com,1,local
newsbtc.com,1,trade
naija247news.com,1,national
saltwire.com,1,local
thewest.com.au,1,local
lhrtimes.com,1,other
cryptonews.com,1,trade
odt.co.nz,1,local
rashtranews.com,1,other
powerphilippines.com,1,trade
tv6tnt.com,1,local
leducrep.com,1,local
kw3.com,1,local
von.gov.ng,1,other
khaosodenglish.com,1,national
heraldcourier.com,1,local
kwqc.com,1,local
business.outlookindia.com,1,national
mvariety.com,1,local
investing.com,1,wire_pr
pc-tablet.co.in,1,trade
geo.tv,1,national
cryptopolitan.com,1,trade
nbcsandiego.com,1,local
campustechnology.com,1,trade
extremetech.com,1,trade
katu.com,1,local
electricenergyonline.com,1,trade
qctimes.com,1,local
electrek.co,1,trade
washtimesherald.com,1,local
