domain,n_rows,outlet_type
natlawreview.com,5,trade
nola.com,5,local
rigzone.com,5,trade
theadvocate.com,5,local
richmondbizsense.com,5,local
wnep.com,5,local
wbrc.com,5,local
chron.com,4,local
sandiegosun.com,4,wire_pr
swarajyamag.com,4,national
windowscentral.com,4,trade
blackseagrain.net,4,wire_pr
capitalfm.co.ke,4,national
thebftonline.com,4,national
wsau.com,4,local
uk.finance.yahoo.com,4,wire_pr
itnewsafrica.com,4,trade
stltoday.com,4,local
eandt.theiet.org,4,trade
katcountry989.com,4,local
mdjonline.com,4,local
zfenglish.com,4,national
theusnews.com,4,wire_pr
datacenternews.asia,4,trade
consumerelectronicsnet.com,4,wire_pr
12news.com,4,local
calcuttanews.net,4,wire_pr
bostonstar.com,4,wire_pr
niagara-gazette.com,4,local
memphissun.com,4,wire_pr
energy.einnews.com,4,wire_pr
buffalonews.com,4,local
eco-business.com,4,trade
thecitizen.com,4,local
newbusinessethiopia.com,4,national
thedickinsonpress.com,4,local
finance.dailyherald.com,4,wire_pr
cio.com,4,trade
hothardware.com,4,trade
clare.fm,4,local
ilonggotechblog.com,4,trade
nigeriasun.com,4,wire_pr
thisdaylive.com,4,national
bruneinews.net,4,wire_pr
theepochtimes.com,4,national
washingtontimes.com,4,national
romfordrecorder.co.uk,4,local
nashvilleherald.com,4,wire_pr
washingtonpost.com,4,national
sloughobserver.co.uk,4,local
whec.com,4,local
building.co.uk,4,trade
nbcwashington.com,4,local
khaleejtimes.com,4,national
en.globes.co.il,4,national
gizmodo.com,4,trade
cbs58.com,4,local
jamestownsun.com,4,local
leadership.ng,4,national
africanreview.com,4,trade
usnews.com,4,national
commercialobserver.com,4,trade
mynorthwest.com,4,local
cairoscene.com,4,local
financialpost.com,4,national
constructionnews.co.uk,4,trade
union-bulletin.com,4,local
nearshoreamericas.com,4,trade
coindesk.com,4,trade
connectionnewspapers.com,4,local
tribune.com.pk,4,national
farmersjournal.ie,4,trade
foxbusiness.com,4,national
harrisondaily.com,4,local
observer.com,4,national
westmeathindependent.ie,4,local
oregonlive.com,4,local
times-herald.com,4,local
securityinfowatch.com,4,trade
talkvietnam.com,4,other
kjzz.org,4,local
wvtf.org,4,local
nextbigfuture.com,4,trade
thesunchronicle.com,4,local
therepublic.com,4,local
deccanherald.com,4,national
journal-advocate.com,4,local
cieonline.co.uk,4,trade
fortmorgantimes.com,4,local
fox9.com,4,local
ibtimes.com,4,national
kildare-nationalist.ie,4,local
gdnonline.com,4,national
rechargenews.com,4,trade
toronto.citynews.ca,4,local
wsiu.org,4,local
nbcdfw.com,4,local
bucksfreepress.co.uk,4,local
limaohio.com,4,local
firstpost.com,4,national
myfox28columbus.com,4,local
kval.com,4,local
stwnewspress.com,4,local
kunc.org,4,local
wunc.org,4,local
grandforksherald.com,4,local
pilotonline.com,4,local
lancasteronline.com,4,local
wdrb.com,4,local
engineering.com,4,trade
abc6onyourside.com,4,local
wvnews.com,4,local
wvmetronews.com,4,local
wdio.com,4,local
gloucesteradvocate.com.au,4,local
wyso.org,4,local
nbcmontana.com,4,local
foxillinois.com,4,local
gazettextra.com,4,local
kxxv.com,4,local
wchstv.com,4,local
wyomingnews.com,3,local
austinglobe.com,3,wire_pr
kfgo.com,3,local
destructoid.com,3,trade
forextv.com,3,wire_pr
nbr.co.nz,3,national
rejournals.com,3,trade
itp.net,3,trade
maryvilleforum.com,3,local
ca.finance.yahoo.com,3,wire_pr
renews.biz,3,trade
businessfacilities.com,3,trade
glamsham.com,3,wire_pr
wealthmanagement.com,3,trade
wenatcheeworld.com,3,local
middlenecknews.com,3,local
thenews-chronicle.com,3,national
computerworld.com,3,trade
business.scoop.co.nz,3,wire_pr
bizjournals.com,3,local
newsghana.com.gh,3,national
rnz.co.nz,3,national
pcmag.com,3,trade
theportugalnews.com,3,national
kdhnews.com,3,local
arabianbusiness.com,3,national
heraldglobe.com,3,wire_pr
politico.eu,3,national
leinsterexpress.ie,3,local
