domain,n_rows,outlet_type
gpb.org,2,local
illinoistimes.com,2,local
wmtw.com,2,local
koco.com,2,local
cnn.com,2,national
wbay.com,2,local
themorningsun.com,2,local
energy-pedia.com,2,trade
wfyi.org,2,local
utahindependent.com,2,other
fox2detroit.com,2,local
windsorstar.com,2,local
katv.com,2,local
wknofm.org,2,local
kwbu.org,2,local
easternriverinachronicle.com.au,2,local
whsm.com,2,local
wilx.com,2,local
wlrn.org,2,local
mykisscountry937.com,2,local
news.tuoitre.vn,2,national
myleaderpaper.com,2,local
koolfmabilene.com,2,local
satellitetoday.com,2,trade
tradearabia.com,2,national
thenewsherald.com,2,local
gulfcoastnewsnow.com,2,local
theoaklandpress.com,2,local
communityimpact.com,2,local
ktvz.com,2,local
mendocinobeacon.com,2,local
whqr.org,2,local
capitalgazette.com,2,local
theleader.com.au,2,local
kpbs.org,2,local
wapt.com,2,local
khak.com,2,local
koreatimes.co.kr,2,national
wvtm13.com,2,local
pressherald.com,2,local
baltimoresun.com,2,local
wrdw.com,2,local
space.com,2,national
thevwindependent.com,2,local
2news.com,2,local
times-news.com,2,local
fox969.com,2,local
woub.org,2,local
oberonreview.com.au,2,local
ktxs.com,2,local
enr.com,2,trade
vnews.com,2,local
stcatharinesstandard.ca,2,local
azcentral.com,1,local
drgnews.com,1,local
twinfinite.net,1,other
chilecomparte.cl,1,other
realestatebusiness.com.au,1,trade
environmentalleader.com,1,trade
datamation.com,1,trade
macaubusiness.com,1,national
billingsgazette.com,1,local
law360.com,1,trade
maxwellgunterdispatch.com,1,other
finextra.com,1,trade
2merkato.com,1,national
newscenter1.tv,1,local
idgconnect.com,1,trade
dw.com,1,national
helenair.com,1,local
slator.com,1,trade
generation-nt.com,1,trade
businessdailyafrica.com,1,national
kulr8.com,1,local
investvine.com,1,trade
wfmd.com,1,local
shanghainews.net,1,other
933thedrive.com,1,local
africa.businessinsider.com,1,national
journal.com.ph,1,national
wdbqam.com,1,local
libyannewswire.com,1,wire_pr
oanow.com,1,local
gamepur.com,1,other
shoosmiths.co.uk,1,other
dutchnews.nl,1,national
indiainfoline.com,1,national
federalnewsnetwork.com,1,trade
theautochannel.com,1,trade
stlouisstar.com,1,wire_pr
africanewswire.za.com,1,wire_pr
stamfordadvocate.com,1,local
iraqsun.com,1,wire_pr
stuff.co.nz,1,national
ktlo.com,1,local
rep-am.com,1,local
starexponent.com,1,local
thesouthern.com,1,local
dezeen.com,1,trade
businessrecord.com,1,local
kios.org,1,local
techwire.net,1,trade
justmeans.com,1,trade
opengovasia.com,1,trade
muscatdaily.com,1,national
pantagraph.com,1,local
worldpropertyjournal.com,1,trade
herald-review.com,1,local
facilityexecutive.com,1,trade
qconline.com,1,local
wiredprnews.com,1,wire_pr
akipress.com,1,national
bigcountry995.com,1,local
marketscale.com,1,trade
thetimeshub.in,1,other
khits.com,1,local
northernnews.ca,1,local
dkoding.in,1,trade
kyma.com,1,local
concreteproducts.com,1,trade
eyeradio.org,1,national
science.thewire.in,1,national
industrytoday.co.uk,1,trade
guardian.ng,1,national
realwire.com,1,wire_pr
bozemandailychronicle.com,1,local
740thefan.com,1,local
techtarget.com,1,trade
idrw.org,1,other
diplomaticourier.com,1,national
vanguardngr.com,1,national
charkoosta.com,1,local
updatesnews.com,1,other
news-journal.com,1,local
uschamber.com,1,other
scienceblog.com,1,other
kuer.org,1,local
theafricareport.com,1,national
hometownstations.com,1,local
theindependent.com,1,local
caribbeannewsglobal.com,1,national
kualalumpurtimes.com,1,national
thezimbabwemail.com,1,national
businessnewsthisweek.com,1,wire_pr
chroniclejournal.com,1,local
technologyrecord.com,1,trade
apr.org,1,local
afghanistansun.com,1,wire_pr
ypradio.org,1,local
kunm.org,1,local
