domain,n_rows,outlet_type
consumerelectronicsnet.com,4,trade
statesboroherald.com,2,local
newser.com,3,national
etftrends.com,1,trade
bloombergquint.com,2,national
caribbeannewsglobal.com,1,national
zdnet.com,5,trade
cvilletomorrow.org,2,local
103kkcn.com,1,local
thehindu.com,20,national
youralaskalink.com,1,local
ktar.com,5,local
romania-insider.com,1,national
chicagobusiness.com,10,local
dailydetroit.com,1,local
terracestandard.com,1,local
kedm.org,1,local
utilities-me.com,1,trade
journal-news.com,8,local
ibtimes.com.au,3,national
fauquier.com,16,local
ncnewsonline.com,1,local
glamsham.com,3,national
economist.com,3,national
biztechafrica.com,3,trade
chicagotribune.com,14,local
nbcrightnow.com,2,local
southcoastregister.com.au,1,local
nynganobserver.com.au,1,local
digitaljournal.com,18,national
wwmt.com,5,local
itnews.com.au,14,trade
kxxv.com,4,local
finextra.com,1,trade
edmontonjournal.com,2,local
delcotimes.com,1,local
coloradostar.com,2,other
lansingcitypulse.com,1,local
birminghamtimes.com,1,local
thestandard.co.zw,2,national
tech.hindustantimes.com,1,national
environmentalleader.com,1,trade
constructionequipmentguide.com,1,trade
augustafreepress.com,1,local
indiatimes.com,1,national
kcci.com,1,local
vir.com.vn,7,national
wboc.com,1,local
kcrg.com,2,local
nation.sc,1,national
stuff.co.nz,1,national
scmr.com,1,trade
nbcmiami.com,2,local
beatricedailysun.com,1,local
local3news.com,1,local
uschamber.com,1,other
observer-reporter.com,1,local
thehindubusinessline.com,27,national
madisoncourier.com,1,local
wxpr.org,2,local
chronline.com,1,local
johnogroat-journal.co.uk,2,local
liliputing.com,1,trade
thejakartapost.com,2,national
panow.com,1,local
vietnamtribune.com,10,national
wbtmdanville.com,1,local
wilx.com,2,local
theusnews.com,4,other
eetimes.com,1,trade
digitalnewsasia.com,1,trade
theepochtimes.com,4,national
lehighvalleylive.com,1,local
newyorktelegraph.com,8,wire_pr
wknofm.org,2,local
dallasnews.com,7,local
georgiapolicy.org,1,other
tech-critter.com,1,trade
webpronews.com,17,trade
westmeathindependent.ie,4,local
dailymail.co.uk,2,national
constructiondive.com,21,trade
marketscreener.com,105,wire_pr
environmentenergyleader.com,1,trade
tweaktown.com,7,trade
saltlakecitysun.com,7,wire_pr
siliconrepublic.com,12,trade
wsaz.com,2,local
hawaiitelegraph.com,5,wire_pr
cbs4local.com,3,local
kjzz.org,4,local
inferse.com,1,other
twinfinite.net,1,other
proactiveinvestors.com.au,3,wire_pr
coinspeaker.com,1,trade
tulsaworld.com,2,local
developingtelecoms.com,55,trade
socialistproject.ca,1,other
