domain,n_rows,outlet_type
fortuneindia.com,1,national
baoapbac.vn,1,local
aspenpublicradio.org,1,local
onmsft.com,1,trade
wuft.org,1,local
en.qantara.de,1,national
kawc.org,1,local
hjnews.com,1,local
fox32chicago.com,1,local
krvs.org,1,local
batonrougepost.com,1,wire_pr
rexburgstandardjournal.com,1,local
heraldscotland.com,1,national
irishsun.com,1,wire_pr
noypigeeks.com,1,trade
beatricedailysun.com,1,local
wmal.com,1,local
tech.hindustantimes.com,1,national
utilities-me.com,1,trade
so-co-it.com,1,other
mynews13.com,1,local
azerbaijannews.net,1,wire_pr
kelo.com,1,local
iraq-businessnews.com,1,national
digitalnewsasia.com,1,trade
automationworld.com,1,trade
thewall.fyi,1,national
gcn.com,1,trade
inc42.com,1,trade
channelasia.tech,1,trade
themiddlemarket.com,1,trade
itproportal.com,1,trade
worcesternews.co.uk,1,local
885thebeach.com,1,local
jakartaglobe.id,1,national
blog.physicsworld.com,1,trade
financemagnates.com,1,trade
timescolonist.com,1,local
thenationonlineng.net,1,national
silicon.co.uk,1,trade
design-reuse.com,1,trade
advancedbiofuelsusa.info,1,trade
dispatch.com,1,local
taiwansun.com,1,wire_pr
henryherald.com,1,local
kuwaittimes.com,1,national
foreignaffairs.co.nz,1,other
delawareonline.com,1,local
electronics360.globalspec.com,1,trade
liliputing.com,1,trade
montreal.ctvnews.ca,1,local
middleeaststar.com,1,national
gizmochina.com,1,trade
lawyersweekly.com.au,1,trade
nation.sc,1,national
maribyrnonghobsonsbay.starweekly.com.au,1,local
healthcare-digital.com,1,trade
tillamookheadlightherald.com,1,local
knsiradio.com,1,local
y94.com,1,local
dailyexcelsior.com,1,local
esgnews.com,1,trade
victoriaadvocate.com,1,local
english.sakshi.com,1,local
pipelinepub.com,1,trade
energy.economictimes.indiatimes.com,1,trade
winchesterstar.com,1,local
thewire.in,1,national
sharechat.co.nz,1,wire_pr
nation.africa,1,national
soyacincau.com,1,trade
information-age.com,1,trade
newstalk1230.net,1,local
thecentersquare.com,1,wire_pr
france24.com,1,national
scrippsnews.com,1,national
neworleanssun.com,1,wire_pr
martinsvillebulletin.com,1,local
onenewspage.com,1,wire_pr
musicbusinessworldwide.com,1,trade
dailyadvance.com,1,local
blog.executivebiz.com,1,trade
theolivepress.es,1,local
freshplaza.com,1,trade
cityfarmer.info,1,other
corvallisadvocate.com,1,local
constructionweekonline.in,1,trade
phoronix.com,1,trade
edie.net,1,trade
icenews.is,1,national
njbiz.com,1,local
mexiconewsdaily.com,1,national
al.com,1,local
news.siliconindia.com,1,trade
aviationweek.com,1,trade
wraltechwire.com,1,local
innovationtoronto.com,1,trade
newstalkzb.co.nz,1,national
clarksvillenow.com,1,local
uk.news.yahoo.com,1,wire_pr
ncadvertiser.com,1,local
middletownpress.com,1,local
muscatinejournal.com,1,local
theengineer.co.uk,1,trade
worldcoal.com,1,trade
gtlaw.com,1,other
irishmirror.ie,1,national
ctinsider.com,1,local
newsmaker.com.au,1,other
leadersleague.com,1,trade
upstreamonline.com,1,trade
loudounnow.com,1,local
dailycamera.com,1,local
ctpost.com,1,local
punchng.com,1,national
wbjournal.com,1,local
canindia.com,1,other
newsday.co.zw,1,national
dcnewsnow.com,1,local
phoneworld.com.pk,1,trade
techbooky.com,1,trade
marketbusinessnews.com,1,other
goskagit.com,1,local
howtogeek.com,1,trade
graphic.com.gh,1,national
sciotopost.com,1,local
morningjournal.com,1,local
tribune.net.ph,1,national
lakegenevanews.net,1,local
heraldandnews.com,1,local
ghanaweb.com,1,national
enn.com,1,trade
cio.economictimes.indiatimes.com,1,trade
news.topwirenews.com,1,wire_pr
thefinance.sg,1,trade
namibiansun.com,1,national
thehour.com,1,local
leinsterleader.ie,1,local
metro.us,1,national
prweb.com,1,wire_pr
news.priyo.com,1,national
kaleidoscot.com,1,other
northafricapost.com,1,national
udayavani.com,1,local
postcrescent.com,1,local
offalyexpress.ie,1,local
starlocalmedia.com,1,local
siliconcanals.com,1,trade
siliconera.com,1,trade
jsonline.com,1,local
