domain,n_rows,outlet_type
middleeasteye.net,1,national
duluthnewstribune.com,1,local
kagstv.com,1,local
wmra.org,1,local
technicalreviewmiddleeast.com,1,trade
thesuburban.com,1,local
news4sanantonio.com,1,local
southwalesguardian.co.uk,1,local
ksenam.com,1,local
dailydetroit.com,1,local
lampasasdispatchrecord.com,1,local
mainepublic.org,1,local
news3lv.com,1,local
kfoxtv.com,1,local
wokv.com,1,local
honisoit.com,1,local
troyrecord.com,1,local
wjr.com,1,local
portnews.com.au,1,local
salisburyjournal.co.uk,1,local
tribdem.com,1,local
kicks99.com,1,local
kmhk.com,1,local
westword.com,1,local
baylorlariat.com,1,local
nj1015.com,1,local
aol.co.uk,1,national
wcti12.com,1,local
themainewire.com,1,local
kake.com,1,local
fox17online.com,1,local
brentwoodlive.co.uk,1,local
987jack.com,1,local
wral.com,1,local
adn.com,1,local
wsaw.com,1,local
rfdtv.com,1,national
enewscourier.com,1,local
myb106.com,1,local
peoplesworld.org,1,national
erkansaka.net,1,other
kcby.com,1,local
tickerreport.com,1,wire_pr
mykiss1031.com,1,local
theonefeather.com,1,local
wcsufm.org,1,local
walb.com,1,local
livescience.com,1,national
989wclz.com,1,local
observertoday.com,1,local
knue.com,1,local
wrkf.org,1,local
wkyt.com,1,local
kfox95.com,1,local
valleynewslive.com,1,local
supertalk.fm,1,local
dailysabah.com,1,national
panow.com,1,local
atlantanewsfirst.com,1,local
patch.com,1,local
kltv.com,1,local
chinatechnews.com,1,trade
cbs2iowa.com,1,local
foxbaltimore.com,1,local
wkml.com,1,local
kmxt.org,1,local
phillyvoice.com,1,local
wnnj.iheart.com,1,local
thexradio.com,1,local
pressdemocrat.com,1,local
theconversation.com,1,national
dailydemocrat.com,1,local
kbft.org,1,local
ideastream.org,1,local
guernseypress.com,1,local
nynganobserver.com.au,1,local
sltrib.com,1,local
wflanews.iheart.com,1,local
stardem.com,1,local
dglobe.com,1,local
transylvaniatimes.com,1,local
therural.com.au,1,trade
lasvegassun.com,1,local
fox35orlando.com,1,local
fool.ca,1,national
southernhighlandnews.com.au,1,local
theprovince.com,1,local
centralmaine.com,1,local
easttexasradio.com,1,local
castanetkamloops.net,1,local
979kickfm.com,1,local
meadvilletribune.com,1,local
argentinastar.com,1,wire_pr
metro.co.uk,1,national
reason.com,1,national
tomsguide.com,1,national
watoday.com.au,1,local
kxlf.com,1,local
agrinews-pubs.com,1,trade
digitaltrends.com,1,national
theworldfolio.com,1,trade
wlwt.com,1,local
clearwatertimes.com,1,local
sacurrent.com,1,local
policymattersohio.org,1,other
pasadenastarnews.com,1,local
gleninnesexaminer.com.au,1,local
moabtimes.com,1,local
standard-democrat.com,1,local
businessreport.com,1,local
readingeagle.com,1,local
worldpumps.com,1,trade
coastalcourier.com,1,local
590kqnt.iheart.com,1,local
radiokerry.ie,1,local
mymcmedia.org,1,local
southcoastregister.com.au,1,local
presstelegram.com,1,local
mudgeeguardian.com.au,1,local
mmegi.bw,1,national
1350kman.com,1,local
texarkanagazette.com,1,local
wafb.com,1,local
kogo.iheart.com,1,local
ualrpublicradio.org,1,local
upnorthlive.com,1,local
africanenergychamber.africa-newsroom.com,1,wire_pr
wtok.com,1,local
alaskapublic.org,1,local
dailybreeze.com,1,local
wbt.com,1,local
standard.net,1,local
foxcarolina.com,1,local
ktvq.com,1,local
cachevalleydaily.com,1,local
ladysmithchronicle.com,1,local
ohiostandard.com,1,local
theadvocate.com.au,1,local
14news.com,1,local
981thehawk.com,1,local
terracestandard.com,1,local
newarkpostonline.com,1,local
sungazette.com,1,local
fox17.com,1,local
wyofile.com,1,local
hardenexpress.com.au,1,local
dungogchronicle.com.au,1,local
cjme.com,1,local
fox10tv.com,1,local
thedigitalcourier.com,1,local
