domain,n_rows,outlet_type
wiscassetnewspaper.com,1,local
inkfreenews.com,1,local
thenational.scot,1,national
windpowermonthly.com,1,trade
newstalk870.am,1,local
theblaze.com,1,national
mainlinemedianews.com,1,local
kansaspublicradio.org,1,local
ilovebobfm.com,1,local
wgauradio.com,1,local
wabi.tv,1,local
express.co.uk,1,national
africaleader.com,1,other
southernminn.com,1,local
lex18.com,1,local
ri.se,1,other
digit.in,1,trade
wisn.com,1,local
wypr.org,1,local
2paragraphs.com,1,national
journalrecord.com,1,local
peacearchnews.com,1,local
campbellrivermirror.com,1,local
weartv.com,1,local
russiaherald.com,1,other
channellife.co.nz,1,trade
wjol.com,1,local
businessweekly.co.uk,1,local
kare11.com,1,local
wthr.com,1,local
theprogress.com,1,local
restofworld.org,1,national
wattsupwiththat.com,1,national
local3news.com,1,local
wrjn.com,1,local
103kkcn.com,1,local
lansingcitypulse.com,1,local
yumasun.com,1,local
abcnews4.com,1,local
ky3.com,1,local
motherjones.com,1,national
thedailystar.com,1,local
socialistproject.ca,1,national
redstate.com,1,national
9and10news.com,1,local
1490wosh.com,1,local
cessnockadvertiser.com.au,1,local
urbanland.uli.org,1,trade
975kgkl.com,1,local
phoenixnewtimes.com,1,local
bakersfieldnow.com,1,local
wamc.org,1,local
kickam1530.com,1,local
tdworld.com,1,trade
bangordailynews.com,1,local
northwaleschronicle.co.uk,1,local
energy-storage.news,1,trade
wzzm13.com,1,local
harrowtimes.co.uk,1,local
camdencourier.com.au,1,local
timeswv.com,1,local
abc12.com,1,local
circleofblue.org,1,national
thehimalayantimes.com,1,national
local12.com,1,local
birminghamtimes.com,1,local
sharecast.com,1,wire_pr
ocbj.com,1,local
calgaryherald.com,1,local
thetelegraphandargus.co.uk,1,local
wnem.com,1,local
yorkpress.co.uk,1,local
truthout.org,1,national
somersetcountygazette.co.uk,1,local
tbsnews.net,1,national
ivpressonline.com,1,local
wjfw.com,1,local
thechemicalengineer.com,1,trade
tctimes.com,1,local
tenterfieldstar.com.au,1,local
realty.economictimes.indiatimes.com,1,national
andoveradvertiser.co.uk,1,local
wistv.com,1,local
wgxa.tv,1,local
komu.com,1,local
sdnewswatch.org,1,local
channelstv.com,1,national
king5.com,1,local
aei.org,1,other
kiro7.com,1,local
abc10.com,1,local
theintelligencer.net,1,local
hometownsource.com,1,local
lvb.com,1,local
thedailyreview.com,1,local
wkow.com,1,local
reporterherald.com,1,local
fultonsun.com,1,local
smh.com.au,1,national
wdsu.com,1,local
tvtechnology.com,1,trade
ktvh.com,1,local
news.wjct.org,1,local
krcgtv.com,1,local
prospect.org,1,national
qatar-tribune.com,1,national
abqjournal.com,1,local
ktbs.com,1,local
salon.com,1,national
coloradohometownweekly.com,1,local
news9.com,1,local
derrynow.com,1,local
observer-reporter.com,1,local
fox4news.com,1,local
themissouritimes.com,1,local
naroomanewsonline.com.au,1,local
570wkbn.iheart.com,1,local
29news.com,1,local
wjcl.com,1,local
wtkr.com,1,local
akronnewsreporter.com,1,local
earthtimes.org,1,other
kimatv.com,1,local
kens5.com,1,local
dailynews.com,1,local
indianapolisrecorder.com,1,local
newsradio540.iheart.com,1,local
vtdigger.org,1,local
mitchellrepublic.com,1,local
leitrimobserver.ie,1,local
japantoday.com,1,national
news.satnews.com,1,trade
mis-asia.com,1,trade
wshu.org,1,local
psdispatch.com,1,local
limerickleader.ie,1,local
cowboystatedaily.com,1,local
ghanaiantimes.com.gh,1,national
dailymaverick.co.za,1,national
summitdaily.com,1,local
tribtoday.com,1,local
wiod.iheart.com,1,local
abcnews.com,1,other
oregoncatalyst.com,1,local
fox13news.com,1,local
warringtonguardian.co.uk,1,local
ncnewsonline.com,1,local
kold.com,1,local
wlos.com,1,local
5newsonline.com,1,local
