domain,n_rows,outlet_type
fox26houston.com,1,local
baystreet.ca,1,national
dieselgasoil.com,1,other
eetimes.com,1,trade
shanghaisun.com,1,local
bryantimes.com,1,local
home.cern,1,other
telegraph.co.uk,1,national
wbtmdanville.com,1,local
miningreview.com,1,trade
africa-newsroom.com,1,wire_pr
en.tempo.co,1,national
thestatehousefile.com,1,local
globalnews.ca,1,national
yorkshirepost.co.uk,1,local
citybeat.com,1,local
science.slashdot.org,1,trade
chestertontribune.com,1,local
chronline.com,1,local
kiplinger.com,1,national
kgou.org,1,local
wkrb13.com,1,wire_pr
registercitizen.com,1,local
orissapost.com,1,local
ukauthority.com,1,trade
sofokleous10.gr,1,national
investorschronicle.co.uk,1,national
kowb1290.com,1,local
johansen.se,1,other
wiky.com,1,local
newsincyprus.com,1,national
newschannel9.com,1,local
wiltonbulletin.com,1,local
fijivillage.com,1,national
medianama.com,1,trade
myedmondsnews.com,1,local
sakshipost.com,1,local
arcticstartup.com,1,trade
inferse.com,1,other
kiiitv.com,1,local
northkoreatimes.com,1,other
harwichandmanningtreestandard.co.uk,1,local
whtimes.co.uk,1,local
environmentenergyleader.com,1,trade
247wallst.com,1,national
houstonchronicle.com,1,local
hampshirechronicle.co.uk,1,local
wimbledonguardian.co.uk,1,local
kilburntimes.co.uk,1,local
whittierdailynews.com,1,local
bicesteradvertiser.net,1,local
wboc.com,1,local
kccu.org,1,local
chesterstandard.co.uk,1,local
mynspr.org,1,local
gulf-times.com,1,national
newsshopper.co.uk,1,local
derryjournal.com,1,local
wesh.com,1,local
halesowennews.co.uk,1,local
gazetteandherald.co.uk,1,local
krcu.org,1,local
lynnnews.co.uk,1,local
roboticstomorrow.com,1,trade
publictechnology.net,1,trade
edp24.co.uk,1,local
thetimes.com,1,national
eastoregonian.com,1,local
investmentexecutive.com,1,trade
lowellsun.com,1,local
crikey.com.au,1,national
gasworld.com,1,trade
edmontonsun.com,1,local
wglt.org,1,local
constructionequipmentguide.com,1,trade
fbherald.com,1,local
pagosadailypost.com,1,local
cloud-computing.tmcnet.com,1,trade
nationalobserver.com,1,national
hudsonreporter.com,1,local
inthesetimes.com,1,national
nakedcapitalism.com,1,national
sierraleonetimes.com,1,national
tech.news.am,1,trade
hotair.com,1,national
presspublications.com,1,local
louisianaradionetwork.com,1,local
cities929.com,1,local
ai-cio.com,1,trade
newdelhitimes.com,1,national
gizbot.com,1,trade
euractiv.com,1,national
governancenow.com,1,trade
ai-online.com,1,trade
apnews.com,1,wire_pr
bdonline.co.uk,1,trade
k945.com,1,local
eldoradonews.com,1,local
mirror.co.uk,1,national
institutionalinvestor.com,1,trade
qrius.com,1,national
goodmenproject.com,1,national
1290wlby.com,1,local
wgowam.com,1,local
e.vnexpress.net,1,national
archdaily.com,1,trade
thefifthestate.com.au,1,trade
kkoh.com,1,local
kedm.org,1,local
chronicle.lu,1,national
eturbonews.com,1,trade
coinspeaker.com,1,trade
hartenergy.com,1,trade
themarketsdaily.com,1,wire_pr
fox4beaumont.com,1,local
theconservativetreehouse.com,1,national
thecable.ng,1,national
dakotawarcollege.com,1,local
newcastleherald.com.au,1,local
middleeastmonitor.com,1,national
chroniclelive.co.uk,1,local
newstribune.com,1,local
turnto10.com,1,local
wtov9.com,1,local
publicnewsservice.org,1,wire_pr
indiatimes.com,1,national
nebraska.tv,1,local
bennettjones.com,1,other
ironmountaindailynews.com,1,local
thenationalnews.com,1,national
enewschannels.com,1,wire_pr
fortmacleodgazette.com,1,local
voanews.com,1,national
kpel965.com,1,local
prweek.com,1,trade
godanriver.com,1,local
planetizen.com,1,trade
thediplomat.ro,1,national
oedigital.com,1,trade
wdet.org,1,local
gvwire.com,1,local
theecologist.org,1,national
gadget.co.za,1,trade
postbulletin.com,1,local
dl-online.com,1,local
westernwheel.ca,1,local
energyandcapital.com,1,wire_pr
fitzhugh.ca,1,local
poweronline.com,1,trade
californianewswire.com,1,wire_pr
