domain,n_rows,outlet_type
techrepublic.com,8,trade
singaporestar.com,8,wire_pr
portal.sina.com.hk,8,wire_pr
ajc.com,8,local
qz.com,8,national
journal-news.com,8,local
wndu.com,8,local
finance-commerce.com,8,local
joplinglobe.com,7,local
businesswireindia.com,7,wire_pr
mb.com.ph,7,national
loudountimes.com,7,local
roscommonherald.ie,7,local
saltlakecitysun.com,7,wire_pr
valdostadailytimes.com,7,local
eejournal.com,7,trade
manufacturing.net,7,trade
tweaktown.com,7,trade
richmond.com,7,local
dailycaller.com,7,national
koreabizwire.com,7,wire_pr
carlow-nationalist.ie,7,local
nepalnational.com,7,wire_pr
ianslive.in,7,wire_pr
malaymail.com,7,national
proactiveinvestors.com,7,wire_pr
yoursourceone.com,7,local
vir.com.vn,7,national
nzherald.co.nz,7,national
winnipegfreepress.com,7,local
nwitimes.com,7,local
inforum.com,7,local
hindustantimes.com,7,national
startribune.com,7,local
dallasnews.com,7,local
wsbt.com,7,local
itbrief.co.nz,7,trade
constructionenquirer.com,7,trade
wisbusiness.com,7,local
marketplace.org,7,national
propertyweek.com,6,trade
bismarcktribune.com,6,local
thejournal.ie,6,national
theday.com,6,local
business.inquirer.net,6,national
sify.com,6,national
meed.com,6,trade
telecomtv.com,6,trade
asiaone.com,6,national
businessmirror.com.ph,6,national
californiatelegraph.com,6,wire_pr
streetinsider.com,6,wire_pr
electropages.com,6,trade
einnews.com,6,wire_pr
techstory.in,6,trade
morningstar.com,6,national
azbigmedia.com,6,local
wusa9.com,6,local
laois-nationalist.ie,6,local
malaysiasun.com,6,wire_pr
neowin.net,6,trade
pandct.com,6,trade
nbcphiladelphia.com,6,local
techmoran.com,6,trade
jcnnewswire.com,6,wire_pr
briefingwire.com,6,wire_pr
newsbytes.ph,6,national
indianexpress.com,6,national
matr.net,6,local
malaya.com.ph,6,national
scmp.com,6,national
econotimes.com,6,national
insideindianabusiness.com,6,local
abc57.com,6,local
mlive.com,6,local
urbanmilwaukee.com,6,local
insideclimatenews.org,6,national
kshb.com,6,local
mondaq.com,6,wire_pr
clickorlando.com,6,local
wispolitics.com,6,local
okcfox.com,6,local
cbc.ca,6,national
sej.org,6,other
wfmj.com,6,local
citizensvoice.com,6,local
energylivenews.com,5,trade
nz.finance.yahoo.com,5,wire_pr
wfae.org,5,local
wkms.org,5,local
energycentral.com,5,trade
latestly.com,5,national
euronews.com,5,national
nbcchicago.com,5,local
mingtiandi.com,5,trade
techwireasia.com,5,trade
businessghana.com,5,national
ecofinagency.com,5,national
africabusinesscommunities.com,5,national
phoenixherald.com,5,wire_pr
techspot.com,5,trade
gulfnews.com,5,national
businessworld.in,5,national
techgoondu.com,5,trade
prnewswire.co.uk,5,wire_pr
japanherald.com,5,wire_pr
fox5dc.com,5,local
bangladeshsun.com,5,wire_pr
gulfbusiness.com,5,national
ksl.com,5,local
mobileworldlive.com,5,trade
newelectronics.co.uk,5,trade
betanews.com,5,trade
en.acnnewswire.com,5,wire_pr
dailypress.com,5,local
dunyanews.tv,5,national
techtimes.com,5,trade
nvdaily.com,5,local
telegraphindia.com,5,national
hawaiitelegraph.com,5,wire_pr
zazoom.it,5,wire_pr
galvnews.com,5,local
itworldcanada.com,5,trade
chinanationalnews.com,5,wire_pr
engineeringnews.co.za,5,trade
telecomlead.com,5,trade
english.aawsat.com,5,national
pr-inside.com,5,wire_pr
ktar.com,5,local
breakingnews.ie,5,national
electronicsweekly.com,5,trade
tennesseedaily.com,5,wire_pr
industrialinfo.com,5,trade
zdnet.com,5,trade
thesun.my,5,national
wwmt.com,5,local
journalgazette.net,5,local
thebusinessdesk.com,5,local
abcnews.go.com,5,national
news4jax.com,5,local
postandcourier.com,5,local
nbcnewyork.com,5,local
wccftech.com,5,trade
fierce-network.com,5,trade
miragenews.com,5,wire_pr
fairfaxtimes.com,5,local
clickondetroit.com,5,local
wsbtv.com,5,local
technical.ly,5,trade
timesherald.com,5,local
