id,relevant,sentiment,theme
2251,yes,negative,tech_operations
2252,no,neutral,other
2253,yes,positive,investment_buildout
2254,yes,neutral,tech_operations
2255,yes,neutral,policy_regulation
2256,yes,positive,energy_grid
2257,yes,neutral,tech_operations
2258,yes,positive,investment_buildout
2259,yes,positive,energy_grid
2260,yes,neutral,tech_operations
2261,no,neutral,other
2262,yes,neutral,tech_operations
2263,yes,positive,investment_buildout
2264,yes,negative,tech_operations
2265,yes,negative,policy_regulation
2266,yes,negative,tech_operations
2267,yes,negative,policy_regulation
2268,yes,positive,tech_operations
2269,yes,negative,tech_operations
2270,no,neutral,other
2271,yes,neutral,tech_operations
2272,no,neutral,other
2273,yes,negative,energy_grid
2274,no,neutral,other
2275,yes,negative,policy_regulation
2276,yes,negative,environment_water
2277,no,neutral,other
2278,yes,neutral,investment_buildout
2279,yes,negative,energy_grid
2280,yes,positive,tech_operations
2281,yes,positive,tech_operations
2282,yes,negative,energy_grid
2283,yes,negative,tech_operations
2284,yes,positive,investment_buildout
2285,yes,negative,energy_grid
2286,yes,negative,energy_grid
2287,yes,negative,tech_operations
2288,yes,positive,investment_buildout
2289,yes,negative,tech_operations
2290,yes,neutral,tech_operations
2291,yes,positive,tech_operations
2292,yes,positive,jobs_economy
2293,yes,positive,tech_operations
2294,yes,negative,tech_operations
2295,yes,positive,investment_buildout
2296,yes,neutral,tech_operations
2297,yes,positive,investment_buildout
2298,yes,positive,investment_buildout
2299,yes,negative,tech_operations
2300,yes,negative,policy_regulation
2301,yes,positive,investment_buildout
2302,yes,negative,tech_operations
2303,yes,neutral,tech_operations
2304,yes,negative,environment_water
2305,yes,positive,tech_operations
2306,yes,neutral,tech_operations
2307,yes,neutral,energy_grid
2308,yes,negative,tech_operations
2309,yes,negative,tech_operations
2310,yes,negative,tech_operations
2311,yes,neutral,tech_operations
2312,yes,negative,tech_operations
2313,yes,neutral,tech_operations
2314,yes,negative,investment_buildout
2315,yes,neutral,energy_grid
2316,yes,positive,investment_buildout
2317,yes,negative,tech_operations
2318,yes,negative,policy_regulation
2319,yes,positive,investment_buildout
2320,yes,negative,other
2321,yes,positive,investment_buildout
2322,yes,positive,investment_buildout
2323,yes,negative,energy_grid
2324,yes,negative,tech_operations
2325,yes,positive,investment_buildout
2326,yes,negative,tech_operations
2327,no,neutral,other
2328,yes,negative,tech_operations
2329,yes,negative,tech_operations
2330,no,neutral,other
2331,yes,neutral,tech_operations
2332,yes,negative,tech_operations
2333,no,neutral,other
2334,yes,negative,tech_operations
2335,yes,negative,tech_operations
2336,yes,positive,investment_buildout
2337,yes,neutral,tech_operations
2338,yes,neutral,energy_grid
2339,yes,negative,tech_operations
2340,yes,negative,tech_operations
2341,yes,positive,investment_buildout
2342,no,neutral,other
2343,no,neutral,other
2344,yes,negative,policy_regulation
2345,yes,positive,investment_buildout
2346,yes,positive,tech_operations
2347,yes,negative,energy_grid
2348,yes,positive,other
2349,yes,negative,tech_operations
2350,no,neutral,other
2351,yes,positive,tech_operations
2352,no,neutral,other
2353,yes,neutral,investment_buildout
2354,yes,negative,community_opposition
2355,no,neutral,other
2356,yes,positive,investment_buildout
2357,no,neutral,other
2358,yes,positive,investment_buildout
2359,yes,negative,community_opposition
2360,yes,positive,investment_buildout
2361,yes,neutral,tech_operations
2362,yes,neutral,tech_operations
2363,yes,negative,tech_operations
2364,yes,negative,community_opposition
2365,yes,neutral,tech_operations
2366,yes,neutral,energy_grid
2367,yes,positive,investment_buildout
2368,yes,neutral,investment_buildout
2369,yes,neutral,investment_buildout
2370,yes,neutral,tech_operations
2371,yes,negative,investment_buildout
2372,no,neutral,other
2373,yes,positive,tech_operations
2374,yes,negative,community_opposition
2375,yes,positive,investment_buildout
2376,yes,negative,energy_grid
2377,yes,positive,tech_operations
2378,yes,negative,tech_operations
2379,yes,negative,environment_water
2380,yes,positive,tech_operations
2381,yes,neutral,other
2382,yes,negative,tech_operations
2383,yes,positive,investment_buildout
2384,yes,negative,energy_grid
2385,yes,positive,investment_buildout
2386,yes,negative,investment_buildout
2387,yes,negative,tech_operations
2388,yes,negative,other
2389,yes,negative,tech_operations
2390,yes,negative,tech_operations
2391,yes,positive,investment_buildout
2392,yes,positive,investment_buildout
2393,yes,positive,investment_buildout
2394,yes,negative,policy_regulation
2395,yes,negative,other
2396,yes,negative,investment_buildout
2397,yes,positive,investment_buildout
2398,no,neutral,other
2399,yes,positive,investment_buildout
2400,no,neutral,other
2401,yes,positive,environment_water
2402,yes,positive,energy_grid
2403,yes,negative,community_opposition
2404,yes,positive,investment_buildout
2405,yes,negative,investment_buildout
2406,yes,positive,investment_buildout
2407,yes,neutral,investment_buildout
2408,no,neutral,other
2409,no,neutral,other
2410,yes,positive,investment_buildout
2411,yes,positive,investment_buildout
2412,yes,positive,investment_buildout
2413,yes,negative,policy_regulation
2414,yes,positive,policy_regulation
2415,yes,positive,energy_grid
2416,yes,positive,jobs_economy
2417,yes,negative,other
2418,yes,neutral,other
2419,yes,negative,other
2420,yes,positive,investment_buildout
2421,yes,positive,energy_grid
2422,yes,negative,community_opposition
2423,yes,negative,energy_grid
2424,yes,negative,investment_buildout
2425,yes,neutral,tech_operations
2426,yes,negative,community_opposition
2427,yes,negative,policy_regulation
2428,yes,negative,tech_operations
2429,yes,negative,tech_operations
2430,no,neutral,other
2431,yes,positive,tech_operations
2432,no,neutral,other
2433,yes,negative,other
2434,yes,positive,investment_buildout
2435,no,neutral,other
2436,yes,negative,tech_operations
2437,yes,negative,policy_regulation
2438,yes,negative,investment_buildout
2439,yes,negative,tech_operations
2440,no,neutral,other
2441,yes,negative,investment_buildout
2442,yes,negative,policy_regulation
2443,yes,negative,energy_grid
2444,yes,negative,investment_buildout
2445,no,neutral,other
2446,yes,negative,policy_regulation
2447,no,neutral,other
2448,yes,positive,investment_buildout
2449,yes,neutral,tech_operations
2450,yes,neutral,investment_buildout
2451,yes,negative,investment_buildout
2452,yes,neutral,investment_buildout
2453,yes,negative,tech_operations
2454,yes,positive,energy_grid
2455,yes,negative,investment_buildout
2456,yes,negative,tech_operations
2457,yes,positive,investment_buildout
2458,yes,positive,investment_buildout
2459,yes,positive,investment_buildout
2460,yes,negative,policy_regulation
2461,yes,negative,tech_operations
2462,yes,neutral,investment_buildout
2463,yes,negative,tech_operations
2464,yes,positive,investment_buildout
2465,yes,positive,jobs_economy
2466,yes,negative,policy_regulation
2467,yes,negative,environment_water
2468,yes,negative,tech_operations
2469,yes,negative,investment_buildout
2470,yes,positive,policy_regulation
2471,no,neutral,other
2472,no,neutral,other
2473,yes,neutral,tech_operations
2474,yes,neutral,tech_operations
2475,yes,neutral,investment_buildout
2476,no,neutral,other
2477,yes,neutral,investment_buildout
2478,yes,positive,investment_buildout
2479,yes,negative,tech_operations
2480,yes,negative,other
2481,yes,negative,other
2482,yes,negative,investment_buildout
2483,yes,negative,investment_buildout
2484,yes,positive,investment_buildout
2485,yes,negative,investment_buildout
2486,yes,neutral,investment_buildout
2487,yes,neutral,investment_buildout
2488,yes,negative,tech_operations
2489,yes,negative,energy_grid
2490,yes,negative,tech_operations
2491,yes,neutral,investment_buildout
2492,yes,neutral,investment_buildout
2493,yes,positive,investment_buildout
2494,yes,neutral,tech_operations
2495,yes,negative,tech_operations
2496,yes,negative,tech_operations
2497,yes,positive,investment_buildout
2498,yes,negative,tech_operations
2499,yes,positive,investment_buildout
2500,no,neutral,other
