id,relevant,sentiment,theme
721,yes,neutral,investment_buildout
722,no,neutral,other
723,no,neutral,other
724,no,neutral,other
725,no,neutral,other
726,no,neutral,other
727,no,neutral,other
728,no,neutral,other
729,no,neutral,other
730,no,neutral,other
731,no,neutral,other
732,no,neutral,other
733,no,neutral,other
734,no,neutral,other
735,no,neutral,other
736,no,neutral,other
737,no,neutral,other
738,no,neutral,other
739,no,neutral,other
740,no,neutral,other
741,no,neutral,other
742,yes,positive,jobs_economy
743,yes,positive,tech_operations
744,no,neutral,other
745,no,neutral,other
746,yes,positive,investment_buildout
747,no,neutral,other
748,no,neutral,other
749,no,neutral,other
750,no,neutral,other
751,yes,positive,tech_operations
752,no,neutral,other
753,no,neutral,other
754,yes,neutral,tech_operations
755,no,neutral,other
756,yes,positive,tech_operations
757,no,neutral,other
758,no,neutral,other
759,no,neutral,other
760,yes,negative,jobs_economy
761,no,neutral,other
762,no,neutral,other
763,no,neutral,other
764,no,neutral,other
765,yes,positive,investment_buildout
766,no,neutral,other
767,no,neutral,other
768,yes,positive,energy_grid
769,no,neutral,other
770,no,neutral,other
771,no,neutral,other
772,yes,positive,energy_grid
773,no,neutral,other
774,no,neutral,other
775,no,neutral,other
776,yes,positive,investment_buildout
777,no,neutral,other
778,no,neutral,other
779,yes,neutral,investment_buildout
780,no,neutral,other
781,no,neutral,other
782,no,neutral,other
783,no,neutral,other
784,yes,neutral,tech_operations
785,no,neutral,other
786,no,neutral,other
787,yes,neutral,tech_operations
788,no,neutral,other
789,yes,positive,tech_operations
790,no,neutral,other
791,no,neutral,other
792,no,neutral,other
793,no,neutral,other
794,no,neutral,other
795,no,neutral,other
796,no,neutral,other
797,no,neutral,other
798,no,neutral,other
799,no,neutral,other
800,yes,positive,energy_grid
801,no,neutral,other
802,no,neutral,other
803,yes,negative,environment_water
804,no,neutral,other
805,yes,positive,energy_grid
806,yes,positive,tech_operations
807,yes,neutral,tech_operations
808,no,neutral,other
809,no,neutral,other
810,no,neutral,other
811,no,neutral,other
812,yes,positive,tech_operations
813,no,neutral,other
814,no,neutral,other
815,yes,positive,energy_grid
816,no,neutral,other
817,no,neutral,other
818,no,neutral,other
819,no,neutral,other
820,yes,positive,policy_regulation
821,no,neutral,other
822,yes,positive,investment_buildout
823,no,neutral,other
824,no,neutral,other
825,no,neutral,other
826,no,neutral,other
827,no,neutral,other
828,no,neutral,other
829,yes,neutral,policy_regulation
830,no,neutral,other
831,yes,negative,tech_operations
832,no,neutral,other
833,yes,positive,investment_buildout
834,no,neutral,other
835,yes,positive,investment_buildout
836,no,neutral,other
837,no,neutral,other
838,no,neutral,other
839,no,neutral,other
840,no,neutral,other
