id,relevant,sentiment,theme
4751,yes,neutral,investment_buildout
4752,yes,positive,investment_buildout
4753,yes,positive,investment_buildout
4754,no,neutral,other
4755,yes,positive,investment_buildout
4756,yes,neutral,energy_grid
4757,yes,positive,energy_grid
4758,yes,neutral,investment_buildout
4759,no,neutral,other
4760,no,neutral,other
4761,yes,neutral,policy_regulation
4762,yes,neutral,investment_buildout
4763,yes,positive,tech_operations
4764,no,neutral,other
4765,yes,positive,investment_buildout
4766,yes,positive,investment_buildout
4767,no,neutral,other
4768,yes,neutral,energy_grid
4769,no,neutral,other
4770,yes,negative,energy_grid
4771,yes,positive,investment_buildout
4772,yes,positive,jobs_economy
4773,yes,negative,environment_water
4774,yes,positive,investment_buildout
4775,yes,positive,investment_buildout
4776,yes,negative,energy_grid
4777,no,neutral,other
4778,yes,neutral,investment_buildout
4779,yes,negative,environment_water
4780,yes,positive,investment_buildout
4781,yes,positive,investment_buildout
4782,yes,neutral,policy_regulation
4783,yes,neutral,investment_buildout
4784,yes,neutral,investment_buildout
4785,yes,neutral,tech_operations
4786,yes,neutral,investment_buildout
4787,yes,positive,investment_buildout
4788,yes,positive,investment_buildout
4789,yes,neutral,investment_buildout
4790,yes,positive,tech_operations
4791,yes,neutral,community_opposition
4792,yes,negative,energy_grid
4793,yes,positive,tech_operations
4794,yes,positive,investment_buildout
4795,yes,neutral,policy_regulation
4796,yes,positive,tech_operations
4797,yes,positive,investment_buildout
4798,yes,positive,energy_grid
4799,yes,positive,tech_operations
4800,yes,positive,investment_buildout
4801,yes,positive,policy_regulation
4802,yes,positive,policy_regulation
4803,yes,positive,investment_buildout
4804,yes,positive,investment_buildout
4805,yes,positive,investment_buildout
4806,yes,positive,tech_operations
4807,yes,neutral,policy_regulation
4808,yes,neutral,investment_buildout
4809,yes,positive,investment_buildout
4810,yes,neutral,community_opposition
4811,yes,positive,tech_operations
4812,yes,neutral,policy_regulation
4813,yes,neutral,community_opposition
4814,yes,neutral,investment_buildout
4815,yes,positive,investment_buildout
4816,yes,positive,energy_grid
4817,yes,negative,community_opposition
4818,yes,positive,investment_buildout
4819,yes,positive,energy_grid
4820,yes,positive,investment_buildout
4821,yes,positive,investment_buildout
4822,yes,positive,investment_buildout
4823,yes,positive,investment_buildout
4824,yes,neutral,investment_buildout
4825,yes,positive,investment_buildout
4826,yes,positive,investment_buildout
4827,yes,positive,energy_grid
4828,yes,positive,tech_operations
4829,yes,negative,tech_operations
4830,yes,positive,energy_grid
4831,yes,negative,environment_water
4832,yes,positive,investment_buildout
4833,yes,positive,tech_operations
4834,yes,positive,investment_buildout
4835,yes,negative,tech_operations
4836,yes,positive,investment_buildout
4837,yes,negative,energy_grid
4838,yes,negative,tech_operations
4839,no,neutral,other
4840,yes,neutral,policy_regulation
4841,yes,positive,investment_buildout
4842,yes,positive,investment_buildout
4843,yes,neutral,policy_regulation
4844,yes,negative,community_opposition
4845,yes,positive,energy_grid
4846,yes,positive,jobs_economy
4847,yes,positive,investment_buildout
4848,yes,positive,investment_buildout
4849,yes,positive,investment_buildout
4850,yes,negative,environment_water
4851,yes,positive,investment_buildout
4852,yes,positive,energy_grid
4853,yes,neutral,community_opposition
4854,yes,positive,energy_grid
4855,yes,positive,jobs_economy
4856,yes,negative,community_opposition
4857,yes,neutral,investment_buildout
4858,yes,neutral,policy_regulation
4859,yes,positive,investment_buildout
4860,yes,positive,energy_grid
4861,yes,neutral,policy_regulation
4862,yes,neutral,policy_regulation
4863,yes,negative,energy_grid
4864,no,neutral,other
4865,yes,neutral,investment_buildout
4866,yes,neutral,policy_regulation
4867,yes,positive,tech_operations
4868,yes,negative,energy_grid
4869,no,neutral,other
4870,no,neutral,other
4871,yes,neutral,policy_regulation
4872,yes,positive,energy_grid
4873,yes,positive,investment_buildout
4874,yes,negative,community_opposition
4875,yes,neutral,jobs_economy
4876,yes,positive,policy_regulation
4877,yes,positive,energy_grid
4878,yes,positive,energy_grid
4879,yes,positive,investment_buildout
4880,yes,positive,investment_buildout
4881,yes,positive,investment_buildout
4882,yes,positive,investment_buildout
4883,yes,neutral,tech_operations
4884,yes,positive,energy_grid
4885,yes,positive,tech_operations
4886,no,neutral,other
4887,yes,positive,investment_buildout
4888,yes,positive,tech_operations
4889,yes,negative,environment_water
4890,yes,positive,investment_buildout
4891,yes,positive,energy_grid
4892,yes,positive,investment_buildout
4893,yes,positive,energy_grid
4894,yes,negative,energy_grid
4895,yes,positive,energy_grid
4896,yes,neutral,investment_buildout
4897,yes,positive,investment_buildout
4898,yes,positive,jobs_economy
4899,yes,positive,energy_grid
4900,yes,positive,investment_buildout
4901,yes,positive,energy_grid
4902,yes,positive,investment_buildout
4903,yes,positive,investment_buildout
4904,yes,positive,investment_buildout
4905,yes,positive,investment_buildout
4906,yes,neutral,community_opposition
4907,yes,positive,tech_operations
4908,yes,neutral,tech_operations
4909,yes,positive,energy_grid
4910,yes,positive,investment_buildout
4911,yes,positive,investment_buildout
4912,yes,neutral,energy_grid
4913,yes,positive,energy_grid
4914,yes,positive,investment_buildout
4915,yes,positive,environment_water
4916,yes,positive,investment_buildout
4917,yes,positive,investment_buildout
4918,yes,negative,environment_water
4919,yes,neutral,environment_water
4920,yes,positive,investment_buildout
4921,yes,neutral,investment_buildout
4922,yes,positive,investment_buildout
4923,yes,negative,environment_water
4924,yes,neutral,policy_regulation
4925,yes,positive,investment_buildout
4926,yes,positive,investment_buildout
4927,yes,positive,investment_buildout
4928,yes,positive,investment_buildout
4929,yes,positive,investment_buildout
4930,yes,positive,investment_buildout
4931,yes,positive,energy_grid
4932,yes,positive,investment_buildout
4933,yes,neutral,energy_grid
4934,yes,positive,investment_buildout
4935,yes,positive,energy_grid
4936,yes,positive,energy_grid
4937,yes,positive,policy_regulation
4938,yes,positive,investment_buildout
4939,yes,positive,investment_buildout
4940,yes,positive,investment_buildout
4941,no,neutral,other
4942,yes,positive,tech_operations
4943,yes,positive,investment_buildout
4944,yes,positive,investment_buildout
4945,yes,positive,investment_buildout
4946,yes,positive,community_opposition
4947,yes,positive,tech_operations
4948,yes,negative,environment_water
4949,yes,neutral,policy_regulation
4950,yes,positive,investment_buildout
4951,yes,positive,energy_grid
4952,no,neutral,other
4953,yes,positive,jobs_economy
4954,yes,positive,investment_buildout
4955,yes,neutral,investment_buildout
4956,yes,negative,energy_grid
4957,yes,positive,energy_grid
4958,yes,positive,tech_operations
4959,yes,neutral,policy_regulation
4960,yes,positive,investment_buildout
4961,yes,neutral,tech_operations
4962,yes,neutral,investment_buildout
4963,yes,positive,investment_buildout
4964,yes,positive,environment_water
4965,yes,positive,tech_operations
4966,yes,neutral,investment_buildout
4967,yes,positive,environment_water
4968,yes,positive,investment_buildout
4969,yes,positive,investment_buildout
4970,yes,neutral,investment_buildout
4971,yes,positive,energy_grid
4972,yes,positive,tech_operations
4973,yes,positive,environment_water
4974,yes,negative,energy_grid
4975,yes,positive,energy_grid
4976,yes,positive,energy_grid
4977,yes,positive,investment_buildout
4978,yes,positive,investment_buildout
4979,no,neutral,other
4980,no,neutral,other
4981,yes,negative,energy_grid
4982,yes,neutral,energy_grid
4983,yes,positive,investment_buildout
4984,yes,negative,energy_grid
4985,yes,positive,energy_grid
4986,yes,positive,energy_grid
4987,yes,positive,investment_buildout
4988,yes,neutral,investment_buildout
4989,yes,neutral,investment_buildout
4990,yes,positive,tech_operations
4991,yes,positive,investment_buildout
4992,yes,positive,policy_regulation
4993,yes,positive,energy_grid
4994,no,neutral,other
4995,yes,positive,investment_buildout
4996,no,neutral,other
4997,yes,positive,jobs_economy
4998,yes,neutral,energy_grid
4999,yes,positive,investment_buildout
5000,yes,positive,tech_operations
